OVERLAPS 0
(61, 7) (0, 7990.0, 9190.0, 9166.0)
(61, 8) (-1, -1060.0, 12548.0, 9195.0)
(61, 9) (-1, 3330.0, 12987.0, 3403.0)
(61, 10) (0, 467.6, 13312.4, 2360.0)
(61, 11) (1, -459.0, 4950.0, 4878.0)
(61, 12) (1, 452.0, 14060.0, 6665.0)
(61, 13) (0, 467.6, 13312.4, 1298.0)
(61, 14) (-1, 4700.0, 13124.0, 4724.0)
(61, 15) (-1, -1138.0, 13312.4, 7265.0)
(61, 16) (0, 452.0, 12548.0, 574.0)
(61, 17) (0, 467.6, 13312.4, 2360.0)
(62, 0) (1, 5162.0, 7790.0, 7712.0)
(62, 1) (0, 5520.0, 6020.0, 5568.0)
(62, 2) (-1, 9750.0, 10250.0, 9786.0)
(62, 3) (1, 4240.0, 5140.0, 5092.0)
(63, 0) (0, 6760.0, 7320.0, 6900.0)
(63, 1) (-1, 7740.0, 9140.0, 7762.5)
(63, 2) (1, 2660.0, 3660.0, 3611.2)
(64, 0) (0, 5588.0, 5972.0, 5780.0)
(64, 1) (1, 200.0, 1400.0, 1110.8)
(64, 2) (0, 200.0, 2100.0, 1171.2)
(64, 3) (-1, 11280.0, 13580.0, 11722.2)
(64, 4) (0, 8260.0, 9560.0, 8910.0)
(65, 0) (0, 5670.0, 6710.0, 5742.0)
(65, 1) (1, 200.0, 1400.0, 924.5)
(65, 2) (0, 2960.0, 5960.0, 3430.0)
(65, 3) (-1, 7740.0, 9140.0, 7840.0)
